gps_datetime,latitude,longitude,fix_quality,satellite_count
2025-07-13T03:52:46.191722+00:00,-33.067101683333334,151.58072871666667,1,51
2025-07-13T03:52:47.315364+00:00,-33.06710171666667,151.5807287,1,51
2025-07-13T03:52:48.288847+00:00,-33.06710176666667,151.58072868333332,1,51
2025-07-13T03:52:49.315322+00:00,-33.06710176666667,151.58072866666666,1,51
2025-07-13T03:52:50.256208+00:00,-33.06710176666667,151.58072865,1,51
2025-07-13T03:52:51.304846+00:00,-33.067101783333335,151.58072865,1,51
2025-07-13T03:52:52.252950+00:00,-33.0671018,151.58072865,1,51
2025-07-13T03:52:53.286844+00:00,-33.06710183333333,151.58072863333334,1,51
2025-07-13T03:52:54.237037+00:00,-33.067101883333336,151.58072863333334,1,51
2025-07-13T03:52:55.287687+00:00,-33.0671019,151.58072861666668,1,51
2025-07-13T03:52:56.252886+00:00,-33.067101916666665,151.5807286,1,51
2025-07-13T03:52:57.293622+00:00,-33.067101916666665,151.58072856666666,1,51
2025-07-13T03:52:58.245455+00:00,-33.06710193333333,151.58072856666666,1,51
2025-07-13T03:52:59.279367+00:00,-33.06710193333333,151.58072856666666,1,51
2025-07-13T03:53:00.241572+00:00,-33.06710193333333,151.58072855,1,51
2025-07-13T03:53:01.290523+00:00,-33.067101916666665,151.58072856666666,1,51
2025-07-13T03:53:02.227768+00:00,-33.0671019,151.5807286,1,51
2025-07-13T03:53:03.298056+00:00,-33.067101883333336,151.58072863333334,1,51
2025-07-13T03:53:04.237606+00:00,-33.06710185,151.58072865,1,51
2025-07-13T03:53:05.271827+00:00,-33.0671018,151.5807287,1,51
2025-07-13T03:53:06.227010+00:00,-33.06710176666667,151.58072871666667,1,51
2025-07-13T03:53:07.274142+00:00,-33.06710176666667,151.58072878333334,1,51
2025-07-13T03:53:08.222690+00:00,-33.06710175,151.58072885,1,51
2025-07-13T03:53:09.280489+00:00,-33.06710175,151.58072893333335,1,51
2025-07-13T03:53:10.229342+00:00,-33.06710171666667,151.58072896666667,1,51
